Player,G 13/14,G 14/15,G 15/16,G 16/17,G 17/18,G 18/19,G 19/20,G 20/21,G 21/22,G 22/23,G 23/24,PTS 13/14,PTS 14/15,PTS 15/16,PTS 16/17,PTS 17/18,PTS 18/19,PTS 19/20,PTS 20/21,PTS 21/22,PTS 22/23,PTS 23/24,TRB 13/14,TRB 14/15,TRB 15/16,TRB 16/17,TRB 17/18,TRB 18/19,TRB 19/20,TRB 20/21,TRB 21/22,TRB 22/23,TRB 23/24,AST 13/14,AST 14/15,AST 15/16,AST 16/17,AST 17/18,AST 18/19,AST 19/20,AST 20/21,AST 21/22,AST 22/23,AST 23/24,3P 13/14,3P 14/15,3P 15/16,3P 16/17,3P 17/18,3P 18/19,3P 19/20,3P 20/21,3P 21/22,3P 22/23,3P 23/24,STL 13/14,STL 14/15,STL 15/16,STL 16/17,STL 17/18,STL 18/19,STL 19/20,STL 20/21,STL 21/22,STL 22/23,STL 23/24,Forecasted PTS,Forecasted TRB,Forecasted AST,Forecasted 3P,Forecasted STL,Forecasted G
Joel Embiid,,,,31.0,63.0,64.0,51.0,51.0,68,66,39,,,,20.2,22.9,27.5,23.0,28.5,30.6,33.1,34.7,,,,7.8,11.0,13.6,11.6,10.6,11.7,10.2,11,,,,2.1,3.2,3.7,3.0,2.8,4.2,4.2,5.6,,,,1.2,1.0,1.2,1.1,1.1,1.4,1,1.4,,,,0.9,0.6,0.7,0.9,1.0,1.1,1,1.2,39.4488639831543,10.686694145202637,7.494312286376953,1.352894902229309,1.2377269268035889,58.0
Luka Doncic,,,,,,72.0,61.0,66.0,65,66,70,,,,,,21.2,28.8,27.7,28.4,32.4,33.9,,,,,,7.8,9.4,8.0,9.1,8.6,9.2,,,,,,6.0,8.8,8.6,8.7,8,9.8,,,,,,2.3,2.8,2.9,3.1,2.8,4.1,,,,,,1.1,1.0,1.0,1.2,1.4,1.4,34.80679702758789,9.671045303344727,9.522929191589355,4.106545925140381,1.623707890510559,67.0
Nikola Jokic,,,80.0,73.0,75.0,80.0,73.0,72.0,74,69,79,,,10.0,16.7,18.5,20.1,19.9,26.4,27.1,24.5,26.4,,,7.0,9.8,10.7,10.8,9.7,10.8,13.8,11.8,12.4,,,2.4,4.9,6.1,7.3,7.0,8.3,7.9,9.8,9,,,0.4,0.6,1.5,1.0,1.1,1.3,1.3,0.8,1.1,,,1.0,0.8,1.2,1.4,1.2,1.3,1.5,1.3,1.4,27.05521583557129,13.810506820678711,9.333556175231934,1.0845508575439453,1.5627115964889526,74.0
Shai Gilgeous-Alexander,,,,,,82.0,70.0,35.0,56,68,75,,,,,,10.8,19.0,23.7,24.5,31.4,30.1,,,,,,2.8,5.9,4.7,5,4.8,5.5,,,,,,3.3,3.3,5.9,5.9,5.5,6.2,,,,,,0.6,1.2,2.0,1.6,0.9,1.3,,,,,,1.2,1.1,0.8,1.3,1.6,2,29.69105339050293,5.265474796295166,6.647099494934082,1.1433886289596558,2.527036666870117,66.0
Victor Wembanyama,,,,,,,,,,,71,,,,,,,,,,,21.4,,,,,,,,,,,10.6,,,,,,,,,,,3.9,,,,,,,,,,,1.8,,,,,,,,,,,1.2,21.4,10.6,3.9,1.8,1.2,71.0
Anthony Davis,67.0,68.0,61.0,75.0,75.0,56.0,62.0,36.0,40,56,76,20.8,24.4,24.3,28.0,28.1,25.9,26.1,21.8,23.2,25.9,24.7,10.0,10.2,10.3,11.8,11.1,12.0,9.3,7.9,9.9,12.5,12.6,1.6,2.2,1.9,2.1,2.3,3.9,3.2,3.1,3.1,2.6,3.5,0.0,0.0,0.6,0.5,0.7,0.9,1.2,0.7,0.3,0.3,0.4,1.3,1.5,1.3,1.3,1.5,1.6,1.5,1.3,1.2,1.1,1.2,25.39499282836914,10.747236251831055,3.1250274181365967,0.7820709943771362,1.1098228693008423,57.0
Donovan Mitchell,,,,,79.0,77.0,69.0,53.0,67,68,55,,,,,20.5,23.8,24.0,26.4,25.9,28.3,26.6,,,,,3.7,4.1,4.4,4.4,4.2,4.3,5.1,,,,,3.7,4.2,4.3,5.2,5.3,4.4,6.1,,,,,2.4,2.4,2.5,3.4,3.5,3.6,3.3,,,,,1.5,1.4,1.0,1.0,1.5,1.5,1.8,28.374942779541016,4.791961669921875,6.181976795196533,4.154775619506836,1.8257935047149658,63.0
Giannis Antetokounmpo,,81.0,,80.0,75.0,72.0,63.0,61.0,67,63,73,,12.7,,22.9,26.9,27.7,29.5,28.1,29.9,31.1,30.4,,6.7,,8.8,10.0,12.5,13.6,11.0,11.6,11.8,11.5,,2.6,,5.4,4.8,5.9,5.6,5.9,5.8,5.7,6.5,,0.1,,0.6,0.6,0.7,1.4,1.1,1.1,0.7,0.5,,0.9,,1.6,1.5,1.3,1.0,1.2,1.1,0.8,1.2,30.61905860900879,11.920796394348145,6.597339630126953,0.8838716149330139,0.9304292798042297,68.0
Kevin Durant,81.0,27.0,72.0,62.0,68.0,78.0,,35.0,55,47,75,32.0,25.4,28.2,25.1,26.4,26.0,,26.9,29.9,29.1,27.1,7.4,6.6,8.2,8.3,6.8,6.4,,7.1,7.4,6.7,6.6,5.5,4.1,5.0,4.8,5.4,5.9,,5.6,6.4,5,5,2.4,2.4,2.6,1.9,2.5,1.8,,2.4,2.1,2,2.2,1.3,0.9,1.0,1.1,0.7,0.7,,0.7,0.9,0.7,0.9,29.5827693939209,6.53699254989624,6.138812065124512,1.9022427797317505,0.774009644985199,59.0
LeBron James,77.0,69.0,76.0,74.0,82.0,55.0,67.0,45.0,56,55,71,27.1,25.3,25.3,26.4,27.5,27.4,25.3,25.0,30.3,28.9,25.7,6.9,6.0,7.4,8.6,8.6,8.5,7.8,7.7,8.2,8.3,7.3,6.3,7.4,6.8,8.7,9.1,8.3,10.2,7.8,6.2,6.8,8.3,1.5,1.7,1.1,1.7,1.8,2.0,2.2,2.3,2.9,2.2,2.1,1.6,1.6,1.4,1.2,1.4,1.3,1.2,1.1,1.3,0.9,1.3,31.1895809173584,8.275184631347656,7.424022674560547,2.7399377822875977,1.0629446506500244,61.0
