"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points","Team 1 FG%","Team 2 FG%","Team 1 FT%","Team 2 FT%","Team 1 3PTM","Team 2 3PTM","Team 1 PTS","Team 2 PTS","Team 1 REB","Team 2 REB","Team 1 AST","Team 2 AST","Team 1 ST","Team 2 ST","Team 1 BLK","Team 2 BLK","Team 1 TO","Team 2 TO"
"1","428.l.127992.t.1","Fire Popovich","428.l.127992.t.7","Just Got Married","True","False","False","5","3","0.477","0.461","0.732","0.826","64","43","563","526","212","202","116","122","42","31","22","28","76","76"
"1","428.l.127992.t.2","🏥🏥🏥","428.l.127992.t.8","I'm taking your $30","True","False","False","6","3","0.401","0.464","0.772","0.747","46","43","485","453","195","219","136","87","38","30","21","19","87","67"
"1","428.l.127992.t.3","MyGloriousKingLebron","428.l.127992.t.11","Please don't hurt my Hali","True","False","False","7","2","0.505","0.424","0.764","0.745","46","37","433","312","221","90","83","105","27","16","24","11","63","40"
"1","428.l.127992.t.4","Ke “Easter” egan the King","428.l.127992.t.6","Anthony GTD Davis","True","False","False","4","5","0.458","0.477","0.746","0.799","63","64","654","619","217","204","123","107","35","34","16","34","74","48"
"1","428.l.127992.t.5","squirt bros💦","428.l.127992.t.9","Injury prone","True","False","False","4","5","0.479","0.479","0.837","0.739","52","70","496","548","199","151","105","138","21","43","13","26","52","67"
"1","428.l.127992.t.10","I don't want to play anymore","428.l.127992.t.12","💦🔫","True","False","False","2","6","0.460","0.469","0.750","0.786","44","39","522","504","167","201","117","117","32","36","22","32","74","70"
"2","428.l.127992.t.1","Fire Popovich","428.l.127992.t.3","MyGloriousKingLebron","True","False","False","5","4","0.467","0.474","0.776","0.682","73","63","744","589","255","286","181","122","57","43","44","46","104","77"
"2","428.l.127992.t.2","🏥🏥🏥","428.l.127992.t.9","Injury prone","True","False","False","4","5","0.431","0.475","0.761","0.823","62","74","639","673","275","242","201","138","54","29","33","18","101","77"
"2","428.l.127992.t.4","Ke “Easter” egan the King","428.l.127992.t.12","💦🔫","True","False","False","3","5","0.504","0.494","0.781","0.851","86","63","695","786","212","248","121","150","33","33","17","23","70","77"
"2","428.l.127992.t.5","squirt bros💦","428.l.127992.t.6","Anthony GTD Davis","True","False","False","5","4","0.473","0.500","0.750","0.771","94","52","801","557","228","226","153","115","39","35","20","36","112","75"
"2","428.l.127992.t.7","Just Got Married","428.l.127992.t.10","I don't want to play anymore","True","False","False","3","5","0.468","0.479","0.832","0.777","60","59","590","696","199","209","142","157","38","38","20","29","56","90"
"2","428.l.127992.t.8","I'm taking your $30","428.l.127992.t.11","Please don't hurt my Hali","True","False","False","2","7","0.480","0.487","0.749","0.833","52","66","640","679","271","209","105","205","29","33","33","32","77","71"
"3","428.l.127992.t.1","Fire Popovich","428.l.127992.t.8","I'm taking your $30","True","False","False","7","2","0.477","0.471","0.758","0.732","73","42","703","614","259","273","154","171","49","32","38","24","97","98"
"3","428.l.127992.t.2","🏥🏥🏥","428.l.127992.t.6","Anthony GTD Davis","True","False","False","4","5","0.461","0.497","0.829","0.831","58","59","688","612","274","248","136","130","43","29","26","36","113","52"
"3","428.l.127992.t.3","MyGloriousKingLebron","428.l.127992.t.7","Just Got Married","True","False","False","7","2","0.468","0.456","0.780","0.818","55","52","637","611","247","199","127","141","34","29","39","20","65","67"
"3","428.l.127992.t.4","Ke “Easter” egan the King","428.l.127992.t.10","I don't want to play anymore","True","False","False","5","4","0.477","0.449","0.753","0.802","75","50","734","668","237","242","151","135","32","41","27","22","91","88"
"3","428.l.127992.t.5","squirt bros💦","428.l.127992.t.12","💦🔫","True","False","False","4","5","0.469","0.488","0.801","0.820","91","69","850","703","276","244","150","159","48","35","28","33","108","75"
"3","428.l.127992.t.9","Injury prone","428.l.127992.t.11","Please don't hurt my Hali","True","False","False","3","5","0.439","0.486","0.869","0.797","69","76","717","638","215","228","151","177","39","39","27","24","70","59"
"4","428.l.127992.t.1","Fire Popovich","428.l.127992.t.9","Injury prone","True","False","False","6","3","0.470","0.477","0.732","0.860","85","70","712","652","250","210","163","131","47","43","32","25","87","78"
"4","428.l.127992.t.2","🏥🏥🏥","428.l.127992.t.12","💦🔫","True","False","False","3","5","0.489","0.488","0.784","0.842","52","76","656","693","248","219","165","148","36","45","22","22","92","74"
"4","428.l.127992.t.3","MyGloriousKingLebron","428.l.127992.t.8","I'm taking your $30","True","False","False","2","7","0.501","0.507","0.739","0.786","59","76","670","756","262","306","168","183","33","39","38","27","65","88"
"4","428.l.127992.t.4","Ke “Easter” egan the King","428.l.127992.t.7","Just Got Married","True","False","False","1","8","0.469","0.476","0.826","0.857","71","87","683","703","187","203","169","155","39","50","17","23","109","68"
"4","428.l.127992.t.5","squirt bros💦","428.l.127992.t.10","I don't want to play anymore","True","False","False","3","5","0.468","0.497","0.713","0.860","71","70","604","654","217","209","114","156","36","39","22","22","61","96"
