"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","FG%","FT%","3PTM","PTS","REB","AST","ST","BLK","TO","Image"
"428.p.5352","1","Jokic","Nikola","DEN","Available","","C","1.2","1.0","$74.0","100%","0.583","0.817","83","2085","976","708","108","68","237","https://s.yimg.com/iu/api/res/1.2/tgAPW7nf.WemT0iZYuQHqw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10182023/5352.png"
"428.p.6022","2","Gilgeous-Alexander","Shai","OKC","Available","","PG,SG","5.3","1.0","$59.8","100%","0.535","0.874","95","2254","415","465","150","67","162","https://s.yimg.com/iu/api/res/1.2/nbMydstCTRphMGMkOcJHQA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10192023/6022.png"
"428.p.5007","3","Davis","Anthony","LAL","Available","","C,PF","12.0","1.5","$48.7","100%","0.556","0.816","29","1876","961","266","91","178","159","https://s.yimg.com/iu/api/res/1.2/r2QqEDGiHvMlmIlcLsMpDA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/5007.png"
"428.p.6014","4","Doncic","Luka","DAL","Available","","PG","2.8","1.0","$64.2","100%","0.487","0.786","284","2370","647","686","99","38","282","https://s.yimg.com/iu/api/res/1.2/jBsI_qhHqGxvOJ1_yME6vw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10132023/6014.png"
"428.p.4896","5","Leonard","Kawhi","LAC","Questionable","GTD - Knee","PF,SF,SG","26.1","2.7","$32.4","100%","0.525","0.885","140","1613","416","244","111","59","119","https://s.yimg.com/iu/api/res/1.2/3eiD8ER.a.V7MTdbDPYyOw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10202023/4896.png"
"428.p.10094","6","Wembanyama","Victor","SAS","Questionable","GTD - Ankle","C,PF","23.7","2.5","$36.8","100%","0.465","0.796","128","1522","755","274","88","254","260","https://s.yimg.com/iu/api/res/1.2/1knXSDee0.YL5sjAjHe7zw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10122023/10094.png"
"428.p.4725","7","George","Paul","LAC","Available","","PF,SF,SG","30.4","3.0","$28.9","100%","0.471","0.907","243","1671","388","262","113","37","153","https://s.yimg.com/iu/api/res/1.2/gPRerlPRFwU9neonY1VRyA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10202023/4725.png"
"428.p.6692","8","Holmgren","Chet","OKC","Available","","C,PF","43.7","4.2","$24.1","100%","0.530","0.793","129","1357","648","200","53","190","131","https://s.yimg.com/iu/api/res/1.2/eERuJQmhn0_OXk0XxyW_KA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10192023/6692.png"
"428.p.4244","9","Durant","Kevin","PHX","Available","","PF,SF","10.9","1.2","$50.9","100%","0.523","0.856","168","2032","495","378","69","91","244","https://s.yimg.com/iu/api/res/1.2/PLdnakgk0NIQX.UtS5CN8A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10172023/4244.png"
"428.p.6404","10","Haliburton","Tyrese","IND","Questionable","GTD - Back","PG,SG","6.9","1.0","$60.9","100%","0.477","0.855","195","1389","271","752","83","48","159","https://s.yimg.com/iu/api/res/1.2/ifkMUegt.xaxS4WqHuqd4Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10182023/6404.png"
